AGC,RAJ2000,DEJ2000,Dist,e_Dist,Vc,e_Vc,HIflux,e_HIflux,W85,e_W85,Af,e_Af,Ac,e_Ac,Cv,e_Cv,K,e_K,S/N,sigma,logMHI,e_logMHI,Notes,SDSS,SimbadName,LEDA
229538,193.96917,31.65111,78.8,2.3,5355,4,1.04,0.16,227,14,1.02,0.12,1.17,0.26,4.09,0.4,0.099,0.024,14.8,1.4,9.18,0.07,1,,AGC 229538,LEDA
229541,180.12208,32.49083,96.4,2.3,6477,5,1.08,0.17,139,10,1.1,0.1,1.39,0.18,2.87,0.26,-0.03,0.02,10.4,2.2,9.37,0.07,1,,AGC 229541,LEDA
229542,180.63625,33.19222,109.5,2.4,7417,10,0.92,0.16,209,32,1.06,0.15,1.61,0.39,3.46,0.57,0.045,0.043,9.9,1.7,9.42,0.08,1,,AGC 229542,LEDA
229543,180.68208,32.21722,115.3,2.3,7789,11,0.97,0.17,139,17,1.13,0.16,1.0,0.23,2.78,0.45,-0.021,0.034,8.6,2.3,9.48,0.08,1,,AGC 229543,LEDA
229544,182.23792,32.43306,101.0,2.2,6802,5,0.84,0.13,90,9,1.19,0.13,1.65,0.23,3.3,0.7,0.016,0.03,10.6,1.9,9.31,0.07,1,,AGC 229544,LEDA
229545,187.39708,32.48861,59.5,2.3,3983,7,0.49,0.09,84,11,1.26,0.2,1.0,0.26,4.06,0.58,0.052,0.031,8.4,1.6,8.61,0.08,1,,AGC 229545,LEDA
229546,189.39375,32.38,168.6,2.2,11550,8,0.57,0.11,106,22,1.05,0.59,1.93,0.65,2.22,0.7,-0.106,0.056,6.8,2.0,9.58,0.09,1,,AGC 229546,LEDA
229547,190.40833,31.99194,65.5,2.2,4414,5,1.82,0.29,138,9,1.04,0.08,1.03,0.12,2.74,0.21,-0.05,0.018,16.2,2.4,9.27,0.07,1,,AGC 229547,LEDA
229548,192.13458,32.29972,100.7,2.2,6803,8,0.76,0.14,117,17,1.0,0.16,1.24,0.31,3.71,0.63,0.029,0.038,7.8,2.1,9.26,0.08,1,,AGC 229548,LEDA
229549,193.07208,32.80278,64.8,2.2,4364,7,0.68,0.12,79,11,1.15,0.2,1.21,0.31,2.34,0.46,-0.063,0.037,6.1,2.8,8.83,0.08,1,,AGC 229549,LEDA
230010,195.68167,15.50667,96.9,2.1,6481,4,3.69,0.58,183,11,1.0,0.07,1.03,0.11,3.41,0.24,0.009,0.015,35.1,1.9,9.91,0.07,1,*,AGC 230010,LEDA
230014,195.70625,9.28306,155.2,2.4,10499,12,1.72,0.27,422,30,1.24,0.23,1.12,0.2,3.53,0.63,0.049,0.021,11.4,2.0,9.99,0.07,1,*,AGC 230014,LEDA
230018,195.74292,10.50389,141.1,2.1,9578,6,1.62,0.26,147,19,1.35,0.15,1.12,0.19,3.1,0.57,0.006,0.024,12.7,2.4,9.88,0.07,1,*,AGC 230018,LEDA
230034,195.87792,8.32833,96.0,2.4,6417,4,1.43,0.22,123,9,1.0,0.14,1.0,0.15,4.11,0.34,0.032,0.017,12.4,2.5,9.49,0.07,1,,AGC 230034,LEDA
230036,195.95167,26.08972,164.3,2.4,11269,10,2.48,0.38,310,20,1.15,0.09,1.0,0.11,3.85,0.29,0.029,0.016,17.5,2.1,10.2,0.07,1,*,AGC 230036,LEDA
230044,196.045,22.28944,106.3,2.3,7155,7,0.97,0.17,130,18,1.03,0.14,1.0,0.22,3.61,0.63,0.012,0.035,8.5,2.6,9.41,0.08,1,*,AGC 230044,LEDA
230048,196.1175,26.67167,157.6,2.2,10776,6,2.73,0.42,412,26,1.14,0.09,1.0,0.11,2.87,0.23,-0.026,0.018,17.7,2.0,10.2,0.07,1,*,AGC 230048,LEDA
230049,196.09458,28.81056,117.2,2.2,7938,3,2.41,0.38,93,6,1.06,0.08,1.2,0.12,3.33,0.24,-0.012,0.017,33.9,1.7,9.89,0.07,1,*,AGC 230049,LEDA
230051,196.11042,27.30528,57.8,12.3,5509,4,2.11,0.33,162,10,1.08,0.08,1.01,0.12,2.66,0.21,-0.044,0.018,19.5,2.2,9.22,0.2,1,,AGC 230051,LEDA
230056,196.31667,25.9575,96.9,2.3,6511,7,1.18,0.19,195,16,1.01,0.08,1.08,0.12,4.07,0.35,0.041,0.019,12.0,1.8,9.42,0.07,1,*,AGC 230056,LEDA
230066,196.42083,33.17861,142.7,2.5,9728,5,3.35,0.53,332,20,1.0,0.07,1.01,0.11,3.25,0.25,-0.01,0.016,19.5,2.5,10.21,0.07,1,*,AGC 230066,LEDA
230069,196.49458,25.46556,97.4,2.3,6518,6,1.2,0.19,190,14,1.21,0.1,1.6,0.22,5.06,0.42,0.081,0.017,12.5,1.8,9.43,0.07,1,*,AGC 230069,LEDA
230076,196.5625,25.46056,107.5,2.4,7265,6,2.23,0.35,183,11,1.0,0.08,1.11,0.12,3.55,0.26,0.022,0.016,18.0,2.3,9.78,0.07,1,*,AGC 230076,LEDA
230077,196.59708,10.43333,16.6,2.2,930,3,6.82,1.08,37,3,1.05,0.08,1.07,0.11,3.87,0.28,0.042,0.015,73.2,2.5,8.65,0.13,1,,AGC 230077,LEDA
230082,196.65833,28.84833,42.1,8.7,4751,3,4.24,0.67,159,10,1.08,0.08,1.11,0.12,4.43,0.31,0.049,0.015,45.8,1.7,9.25,0.19,1,,AGC 230082,LEDA
230083,196.65125,27.87306,93.2,2.2,6284,10,1.63,0.25,331,24,1.23,0.1,1.0,0.15,4.06,0.34,0.041,0.018,13.0,1.9,9.52,0.07,1,*,AGC 230083,LEDA
230084,196.73292,14.80722,16.6,2.2,987,4,1.57,0.25,67,6,1.18,0.13,1.2,0.19,5.16,0.44,0.118,0.018,16.2,2.3,8.01,0.13,1,,AGC 230084,LEDA
230085,196.7375,13.22,155.4,2.3,10579,7,0.98,0.17,98,12,1.0,0.15,1.15,0.26,2.98,0.46,-0.009,0.031,9.6,2.5,9.75,0.08,1,*,AGC 230085,LEDA
230089,196.7625,13.07472,122.1,2.2,8259,8,2.11,0.37,316,40,1.0,0.14,1.0,0.22,2.56,0.38,-0.072,0.034,9.4,3.3,9.87,0.08,"2,r",*,AGC 230089,LEDA
230096,196.805,28.04694,108.2,2.2,7303,9,0.41,0.07,108,16,1.02,0.19,1.18,0.36,4.32,0.7,0.089,0.036,6.2,1.5,9.05,0.08,2,*,AGC 230096,LEDA
230105,196.98,34.91944,104.5,2.2,7100,7,1.85,0.29,193,30,1.24,0.14,1.29,0.21,3.31,0.51,0.026,0.024,12.5,2.6,9.68,0.07,1,,AGC 230105,LEDA
230107,197.00625,26.76528,149.9,2.3,10211,13,0.9,0.16,239,31,1.16,0.17,1.1,0.34,2.38,0.44,-0.075,0.046,8.0,1.9,9.68,0.08,1,*,AGC 230107,LEDA
230115,197.22958,29.04056,138.2,2.3,9420,4,2.53,0.4,252,15,1.12,0.08,1.27,0.13,3.47,0.26,-0.013,0.015,30.4,1.4,10.06,0.07,1,*,AGC 230115,LEDA
230117,197.2375,28.28056,102.6,4.2,5856,5,1.94,0.3,211,16,1.08,0.08,1.1,0.12,3.17,0.29,0.0,0.018,16.1,2.2,9.68,0.08,1,*,AGC 230117,LEDA
230118,197.29542,22.46611,153.8,2.4,10489,4,1.64,0.26,101,7,1.1,0.12,1.05,0.12,3.36,0.28,-0.026,0.018,13.1,2.8,9.96,0.07,1,*,AGC 230118,LEDA
230120,197.31708,29.36778,93.4,2.3,6280,9,1.13,0.2,175,24,1.05,0.15,1.01,0.27,4.85,0.7,0.094,0.032,9.1,2.4,9.37,0.08,1,*,AGC 230120,LEDA
230122,197.4525,11.65139,110.3,2.1,7409,4,3.56,0.56,230,15,1.18,0.09,1.09,0.11,3.5,0.28,0.014,0.02,31.0,2.0,10.01,0.07,1,*,AGC 230122,LEDA
230123,197.45792,24.5775,105.2,2.2,7090,6,1.85,0.29,214,14,1.16,0.1,1.23,0.13,3.15,0.29,-0.02,0.019,15.4,2.1,9.68,0.07,1,*,AGC 230123,LEDA
230129,197.49792,30.04,153.1,2.3,10518,8,1.91,0.3,339,26,1.13,0.12,1.73,0.25,4.34,0.43,0.051,0.023,12.3,2.4,10.02,0.07,1,,AGC 230129,LEDA
230130,197.50083,19.71806,55.8,2.2,3727,3,4.78,0.76,96,6,1.15,0.08,1.27,0.13,2.77,0.2,-0.043,0.015,56.6,2.0,9.55,0.08,1,*,AGC 230130,LEDA
230135,197.67333,20.53639,60.4,2.4,4064,5,2.87,0.45,269,18,1.0,0.08,1.0,0.1,2.95,0.23,-0.027,0.018,21.0,2.1,9.39,0.08,1,,AGC 230135,LEDA
230136,197.67792,21.36722,100.4,2.3,6735,5,1.73,0.27,220,16,1.0,0.08,1.15,0.14,3.29,0.26,-0.002,0.017,14.7,2.2,9.62,0.07,1,*,AGC 230136,LEDA
230139,197.69792,29.70972,102.6,4.2,6382,6,1.96,0.31,237,16,1.02,0.08,1.31,0.16,3.12,0.26,-0.035,0.024,15.5,2.1,9.69,0.08,1,*,AGC 230139,LEDA
230146,197.88208,8.74306,59.1,2.4,4000,4,1.29,0.2,160,13,1.1,0.1,1.12,0.17,3.59,0.29,0.012,0.018,12.8,2.1,9.03,0.08,1,*,AGC 230146,LEDA
230148,197.935,9.11,196.2,2.3,13403,13,1.24,0.19,391,29,1.01,0.08,1.0,0.11,3.51,0.29,0.015,0.018,12.9,1.3,10.05,0.07,1,*,AGC 230148,LEDA
230151,197.95292,10.60222,139.2,2.2,9404,18,2.03,0.31,529,39,1.2,0.11,1.32,0.19,3.26,0.3,0.01,0.022,10.6,2.3,9.97,0.07,1,*,AGC 230151,LEDA
230153,197.99083,14.56639,118.1,2.3,7996,14,0.89,0.16,228,67,1.24,0.22,1.19,0.5,2.91,0.7,-0.037,0.043,7.2,2.0,9.47,0.08,2,*,AGC 230153,LEDA
230157,198.04042,11.23611,109.7,2.2,7375,7,0.73,0.13,110,15,1.13,0.15,1.06,0.3,2.44,0.7,-0.069,0.039,8.0,2.2,9.32,0.08,1,,AGC 230157,LEDA
230160,198.09083,12.17306,50.3,2.3,3352,3,8.33,1.32,163,10,1.05,0.07,1.23,0.12,3.12,0.22,-0.034,0.015,91.1,1.8,9.7,0.08,1,,AGC 230160,LEDA
230161,198.07417,26.68556,10.0,2.2,792,4,3.58,0.57,133,8,1.0,0.07,1.0,0.1,3.01,0.21,-0.03,0.016,33.9,2.2,7.93,0.2,1,,AGC 230161,LEDA
230162,198.10167,8.655,219.3,2.5,15036,11,1.66,0.29,339,43,1.0,0.14,1.39,0.33,3.53,0.57,0.007,0.032,9.0,2.5,10.28,0.08,2,*,AGC 230162,LEDA
230179,198.43792,24.98222,107.4,2.1,7244,6,0.98,0.16,238,17,1.32,0.13,2.04,0.3,3.27,0.34,-0.024,0.018,10.9,1.5,9.42,0.07,2,,AGC 230179,LEDA
230185,198.58208,13.50722,114.0,2.3,7692,7,1.5,0.23,241,16,1.03,0.08,1.11,0.13,2.9,0.27,-0.013,0.017,15.4,1.6,9.66,0.07,1,,AGC 230185,LEDA
230190,201.29292,17.05306,121.4,2.2,8213,4,2.17,0.34,210,14,1.1,0.09,1.29,0.15,3.61,0.28,0.02,0.016,18.0,2.3,9.88,0.07,1,*,AGC 230190,LEDA
230192,198.75042,10.02861,191.6,2.2,13140,4,2.86,0.45,227,15,1.15,0.09,1.53,0.18,3.52,0.28,0.039,0.017,22.9,2.1,10.39,0.07,1,*,AGC 230192,LEDA
230199,198.835,13.09083,111.7,2.3,7500,6,3.69,0.58,417,27,1.28,0.1,1.74,0.18,3.13,0.25,0.005,0.021,24.9,2.1,10.04,0.07,1,*,AGC 230199,LEDA
230201,198.84792,12.895,113.5,2.6,7654,3,2.92,0.46,117,7,1.1,0.08,1.34,0.14,3.03,0.22,-0.026,0.016,28.8,2.3,9.95,0.07,1,,AGC 230201,LEDA
230204,198.94583,31.84611,82.2,4.4,5106,3,4.79,0.76,194,12,1.04,0.07,1.14,0.12,3.24,0.23,-0.018,0.015,46.5,2.0,9.88,0.08,1,*,AGC 230204,LEDA
230206,198.98417,17.76056,16.6,2.4,976,4,1.61,0.25,91,7,1.0,0.14,1.09,0.14,4.3,0.36,0.063,0.02,16.5,2.3,8.02,0.14,1,,AGC 230206,LEDA
230207,198.98833,17.16528,104.9,2.2,7070,5,2.88,0.45,239,15,1.13,0.09,1.47,0.17,3.31,0.24,-0.023,0.019,21.0,2.4,9.87,0.07,1,,AGC 230207,LEDA
230208,199.01458,13.40306,134.0,2.3,9072,15,1.0,0.18,246,46,1.04,0.22,1.15,0.27,3.18,0.62,-0.032,0.039,6.6,2.2,9.63,0.08,1,*,AGC 230208,LEDA
230212,199.06625,30.26444,214.0,2.3,14769,5,2.64,0.41,297,20,1.1,0.08,1.35,0.15,4.34,0.31,0.057,0.017,21.5,1.8,10.45,0.07,"1,c",,AGC 230212,LEDA
230213,199.085,30.67806,82.1,4.4,5661,6,1.93,0.3,209,16,1.0,0.08,1.08,0.14,3.15,0.31,0.001,0.021,12.6,2.7,9.49,0.08,1,*,AGC 230213,LEDA
230225,199.37875,20.60028,98.4,2.3,6620,5,1.65,0.26,318,20,1.12,0.11,1.15,0.14,3.33,0.28,-0.017,0.018,12.5,2.3,9.58,0.07,"1,p",,AGC 230225,LEDA
230227,199.6075,31.46694,82.2,4.3,5603,4,2.46,0.39,91,7,1.05,0.1,1.06,0.12,4.3,0.32,0.067,0.017,26.6,2.2,9.59,0.08,1,,AGC 230227,LEDA
230229,199.66375,8.68556,105.5,2.4,7105,5,1.67,0.26,195,15,1.4,0.11,1.43,0.18,2.98,0.36,-0.032,0.019,13.6,2.2,9.64,0.07,1,*,AGC 230229,LEDA
230233,199.70292,12.39694,161.8,2.2,11022,5,2.81,0.44,323,20,1.0,0.08,1.11,0.12,3.23,0.24,-0.012,0.016,19.7,2.1,10.24,0.07,1,*,AGC 230233,LEDA
230234,199.75792,14.79111,98.4,2.2,6588,10,1.51,0.27,270,33,1.27,0.17,1.08,0.26,2.44,0.37,-0.046,0.032,9.3,2.6,9.54,0.08,1,*,AGC 230234,LEDA
230238,199.83458,8.76194,199.2,2.3,13619,11,1.55,0.25,347,31,1.0,0.09,1.0,0.13,5.53,0.53,0.093,0.023,10.5,2.1,10.16,0.07,1,*,AGC 230238,LEDA
230239,199.86833,14.5775,99.9,2.4,6700,6,2.27,0.36,198,13,1.06,0.08,1.0,0.1,3.77,0.31,0.027,0.019,15.0,2.6,9.73,0.07,1,,AGC 230239,LEDA
230244,199.995,29.42722,139.1,2.4,9492,9,0.92,0.16,154,20,1.0,0.15,1.18,0.27,3.69,0.6,0.041,0.031,8.3,2.2,9.62,0.08,1,*,AGC 230244,LEDA
230248,200.02458,33.06028,166.7,2.3,11457,6,0.87,0.14,136,13,1.36,0.12,1.44,0.17,3.16,0.7,0.019,0.023,10.1,1.9,9.76,0.07,"1,p",,AGC 230248,LEDA
230251,200.06083,30.98778,106.2,2.3,7187,7,2.91,0.46,355,22,1.16,0.09,1.14,0.15,2.91,0.23,-0.073,0.017,19.5,2.2,9.89,0.07,1,*,AGC 230251,LEDA
230252,200.0625,30.89972,107.6,2.3,7288,4,1.97,0.31,222,16,1.05,0.08,1.15,0.13,3.55,0.31,0.002,0.017,17.2,2.0,9.73,0.07,1,,AGC 230252,LEDA
230255,200.09,31.515,72.3,4.4,5036,3,2.59,0.41,126,8,1.0,0.08,1.13,0.12,3.35,0.24,-0.006,0.015,32.5,1.6,9.5,0.09,"1,p",,AGC 230255,LEDA
230260,200.23333,1.50333,91.0,2.3,6044,5,2.4,0.38,212,15,1.0,0.09,1.15,0.14,3.41,0.27,0.036,0.018,15.6,2.7,9.67,0.07,1,*,AGC 230260,LEDA
230262,200.23583,14.15556,105.9,2.2,7124,3,3.55,0.56,153,10,1.0,0.07,1.13,0.12,2.83,0.21,-0.051,0.016,33.7,2.2,9.97,0.07,1,*,AGC 230262,LEDA
230263,200.21583,31.36611,72.3,4.4,5032,19,0.87,0.16,214,34,1.11,0.18,1.1,0.27,4.83,0.7,-0.004,0.034,6.5,2.1,9.03,0.09,2,*,AGC 230263,LEDA
230268,200.35708,14.72861,107.7,2.4,7247,9,1.09,0.19,172,22,1.0,0.15,1.05,0.26,3.23,0.62,0.005,0.034,8.2,2.5,9.47,0.08,1,*,AGC 230268,LEDA
230269,200.36875,12.33778,166.9,2.2,11388,15,1.85,0.29,360,26,1.08,0.11,1.06,0.13,4.8,0.43,0.051,0.018,11.8,2.1,10.08,0.07,1,*,AGC 230269,LEDA
230270,200.33083,31.5525,105.8,2.0,7148,9,0.97,0.17,139,18,1.06,0.14,1.0,0.22,3.48,0.58,0.016,0.032,9.8,1.9,9.41,0.08,1,,AGC 230270,LEDA
230274,200.39208,25.51611,148.1,2.2,10103,18,1.8,0.32,435,55,1.14,0.16,1.21,0.31,2.42,0.41,-0.095,0.035,9.5,2.4,9.97,0.08,1,*,AGC 230274,LEDA
230275,200.48042,14.33278,104.3,2.3,7028,9,1.59,0.25,319,23,1.0,0.08,1.32,0.17,2.99,0.28,-0.039,0.031,13.7,1.8,9.61,0.07,1,*,AGC 230275,LEDA
230279,200.47833,35.36,86.6,2.3,5840,4,2.3,0.36,137,9,1.0,0.07,1.0,0.11,3.45,0.26,0.012,0.017,17.6,2.9,9.61,0.07,"1,c",,AGC 230279,LEDA
230283,200.60917,21.42556,101.7,2.2,6819,5,1.64,0.25,195,14,1.02,0.12,1.21,0.2,4.98,0.41,0.118,0.019,14.0,2.3,9.6,0.07,1,,AGC 230283,LEDA
230286,200.71167,31.82611,79.1,2.2,5366,5,1.61,0.25,160,12,1.19,0.1,1.48,0.18,2.81,0.32,-0.015,0.024,15.1,2.1,9.38,0.07,1,,AGC 230286,LEDA
230295,200.87792,13.77278,107.4,2.3,7224,9,0.86,0.15,159,19,1.04,0.14,1.1,0.25,3.83,0.61,0.059,0.034,8.7,2.0,9.37,0.08,2,*,AGC 230295,LEDA
230296,200.8525,26.54361,107.4,2.4,7267,4,1.34,0.21,169,14,1.04,0.08,1.06,0.12,2.72,0.29,-0.042,0.022,13.0,2.0,9.56,0.07,"1,p",*,AGC 230296,LEDA
230297,200.90375,13.97333,96.5,2.3,6470,3,3.87,0.61,61,4,1.02,0.08,1.03,0.11,4.26,0.3,0.061,0.015,38.8,2.5,9.93,0.07,1,*,AGC 230297,LEDA
230302,201.04125,9.66167,107.3,2.3,7225,6,2.11,0.33,243,18,1.18,0.09,1.47,0.18,2.5,0.52,-0.056,0.021,13.2,2.6,9.76,0.07,1,*,AGC 230302,LEDA
230305,201.10042,13.9375,101.0,2.3,6777,5,1.24,0.19,357,23,1.13,0.09,1.19,0.15,2.51,0.2,-0.042,0.019,15.0,1.5,9.48,0.07,2,*,AGC 230305,LEDA
230308,201.10542,30.95917,210.6,2.3,14547,8,3.09,0.49,505,32,1.0,0.07,1.11,0.14,2.97,0.24,-0.047,0.017,19.2,2.1,10.51,0.07,1,*,AGC 230308,LEDA
230311,201.2,16.14528,105.7,2.4,7120,4,4.78,0.76,196,13,1.05,0.08,1.07,0.11,4.38,0.32,0.076,0.016,39.3,2.0,10.1,0.07,1,,AGC 230311,LEDA
230312,201.215,13.58083,100.7,2.3,6760,3,2.5,0.39,65,5,1.22,0.09,1.28,0.14,3.35,0.25,0.002,0.016,29.5,2.2,9.78,0.07,1,*,AGC 230312,LEDA
230316,201.18167,32.54,174.0,2.3,11930,6,1.2,0.19,179,15,1.07,0.09,1.01,0.16,5.17,0.58,0.088,0.02,13.9,1.7,9.93,0.07,1,*,AGC 230316,LEDA
230320,201.38,11.825,173.1,2.1,11781,12,2.73,0.43,396,27,1.09,0.1,1.0,0.12,3.99,0.32,0.074,0.021,17.7,2.0,10.29,0.07,1,*,AGC 230320,LEDA
230323,201.41083,33.68028,170.3,2.3,11694,6,2.23,0.35,266,17,1.19,0.09,1.15,0.13,3.43,0.27,-0.006,0.018,14.9,2.3,10.18,0.07,1,*,AGC 230323,LEDA
230324,201.47292,13.29778,99.1,2.3,6662,4,1.35,0.21,166,11,1.1,0.09,1.1,0.13,3.77,0.3,0.008,0.018,14.6,1.9,9.5,0.07,1,*,AGC 230324,LEDA
230329,201.53708,26.47694,162.3,2.3,11116,7,0.78,0.14,139,18,1.18,0.16,1.0,0.21,2.92,0.43,0.003,0.032,9.2,1.8,9.69,0.08,1,*,AGC 230329,LEDA
230331,201.57458,17.75722,123.1,2.4,8343,5,2.25,0.35,230,15,1.05,0.08,1.08,0.12,3.57,0.26,0.045,0.017,17.8,2.2,9.91,0.07,1,*,AGC 230331,LEDA
230341,201.71542,26.59083,103.9,2.2,7058,8,1.31,0.21,263,22,1.29,0.14,1.36,0.2,3.46,0.4,0.05,0.022,10.1,2.1,9.52,0.07,1,*,AGC 230341,LEDA
230342,201.76208,30.97639,100.0,2.4,6778,15,1.24,0.22,239,35,1.0,0.21,1.0,0.23,2.99,0.63,-0.012,0.049,7.9,2.5,9.47,0.08,1,,AGC 230342,LEDA
230343,201.80792,19.80417,187.4,2.2,12839,8,1.42,0.25,253,46,1.1,0.15,1.67,0.38,2.86,0.53,-0.011,0.035,9.8,2.5,10.07,0.08,1,*,AGC 230343,LEDA
230347,201.87917,19.34111,186.3,2.3,12809,16,1.58,0.28,359,92,1.0,0.14,1.2,0.28,3.53,0.68,0.019,0.049,8.2,2.6,10.11,0.08,1,*,AGC 230347,LEDA
230351,202.16708,12.71083,110.9,2.2,7481,4,1.64,0.25,157,13,1.0,0.08,1.07,0.12,2.62,0.25,-0.047,0.024,13.8,2.6,9.68,0.07,1,*,AGC 230351,LEDA
230356,202.2675,12.23778,107.8,2.2,7274,8,2.11,0.33,400,27,1.0,0.07,1.21,0.14,2.64,0.29,-0.045,0.023,14.1,2.0,9.76,0.07,1,*,AGC 230356,LEDA
230366,202.37833,11.74556,114.2,2.2,7709,7,0.35,0.07,44,7,1.0,0.35,1.0,0.33,4.03,0.7,0.025,0.036,4.7,2.5,9.04,0.09,2,*,AGC 230366,LEDA
230367,202.39792,11.69722,102.2,4.6,6580,11,0.92,0.17,185,25,1.14,0.2,1.16,0.33,4.32,0.7,0.055,0.034,7.3,2.4,9.35,0.09,2,*,AGC 230367,LEDA
230369,202.42875,12.19,178.3,2.2,12173,7,1.81,0.28,399,27,1.46,0.16,1.67,0.27,2.4,0.21,-0.088,0.018,12.9,2.0,10.13,0.07,1,*,AGC 230369,LEDA
230371,202.435,9.93333,96.1,2.2,6428,5,1.73,0.27,219,14,1.2,0.09,1.77,0.23,3.16,0.28,-0.038,0.021,18.9,1.6,9.58,0.07,1,*,AGC 230371,LEDA
230372,202.43708,10.01833,106.3,2.2,7147,6,0.99,0.15,248,17,1.12,0.09,1.13,0.18,3.94,0.59,0.026,0.027,10.0,1.8,9.42,0.07,"2,c",,AGC 230372,LEDA
230377,202.45042,31.13,105.8,2.3,7155,5,3.67,0.58,255,16,1.13,0.08,1.37,0.16,2.72,0.2,-0.053,0.015,29.6,2.0,9.99,0.07,1,*,AGC 230377,LEDA
230378,202.51583,12.17528,195.7,2.2,13414,4,1.56,0.24,166,11,1.02,0.08,1.14,0.13,3.07,0.26,-0.028,0.019,15.9,2.1,10.15,0.07,1,*,AGC 230378,LEDA
230380,202.66625,11.59472,102.2,4.6,7256,15,1.08,0.2,224,29,1.0,0.35,1.19,0.35,3.78,0.69,0.036,0.035,7.2,2.4,9.42,0.09,2,*,AGC 230380,LEDA
230389,202.84125,10.72583,94.1,2.4,6304,6,2.72,0.43,255,19,1.22,0.1,1.03,0.12,3.05,0.34,-0.038,0.026,20.7,2.0,9.76,0.07,1,*,AGC 230389,LEDA
230390,202.84042,25.61889,111.0,2.3,7529,4,1.61,0.25,160,13,1.12,0.09,1.23,0.14,2.73,0.23,-0.061,0.019,12.7,2.6,9.67,0.07,"1,c",,AGC 230390,LEDA
230396,202.96375,14.1375,112.2,2.4,7581,6,1.99,0.31,296,20,1.18,0.09,1.12,0.13,3.54,0.29,0.009,0.017,15.7,2.0,9.77,0.07,1,,AGC 230396,LEDA
230400,203.02042,13.16306,193.5,2.1,13272,5,1.1,0.17,165,14,1.03,0.08,1.01,0.12,3.23,0.31,0.005,0.019,11.3,2.0,9.99,0.07,1,,AGC 230400,LEDA
230402,203.03042,14.43389,122.9,2.4,8313,5,1.86,0.3,216,16,1.14,0.09,1.43,0.17,3.13,0.42,-0.012,0.023,14.4,2.2,9.82,0.07,1,*,AGC 230402,LEDA
230403,203.06,10.40806,108.3,2.4,7302,3,3.14,0.5,130,8,1.14,0.09,1.23,0.14,2.99,0.22,-0.034,0.016,22.7,3.1,9.94,0.07,1,*,AGC 230403,LEDA
230404,203.04417,28.38889,133.3,2.4,9086,7,1.3,0.21,247,26,1.31,0.12,2.17,0.25,2.26,0.21,-0.095,0.028,10.0,2.1,9.74,0.07,"1,r",*,AGC 230404,LEDA
230407,203.12375,12.8175,111.5,2.3,7521,4,1.66,0.26,128,10,1.01,0.1,1.06,0.13,3.69,0.28,0.009,0.016,16.4,2.1,9.69,0.07,1,*,AGC 230407,LEDA
230408,203.13458,13.93306,102.3,2.4,6917,12,1.21,0.22,205,28,1.41,0.74,1.74,0.64,3.68,0.7,0.02,0.034,9.1,2.2,9.47,0.08,2,*,AGC 230408,LEDA
230413,203.27083,14.205,192.7,2.2,13218,6,1.55,0.24,168,14,1.33,0.11,1.4,0.19,2.63,0.39,-0.017,0.027,12.2,2.4,10.13,0.07,1,*,AGC 230413,LEDA
230417,203.32833,11.11694,112.8,2.5,7613,3,1.9,0.3,114,7,1.04,0.08,1.22,0.13,3.29,0.24,-0.005,0.016,21.4,2.2,9.76,0.07,1,*,AGC 230417,LEDA
230418,203.34208,9.52722,105.9,2.3,7116,6,2.58,0.4,244,15,1.08,0.08,1.31,0.15,3.25,0.27,-0.026,0.016,18.8,2.3,9.84,0.07,1,*,AGC 230418,LEDA
230426,203.5425,13.16306,189.7,2.3,13007,5,1.58,0.24,251,16,1.06,0.09,1.08,0.19,2.24,0.18,-0.095,0.019,13.6,1.9,10.13,0.07,1,*,AGC 230426,LEDA
230427,203.53917,13.28083,192.3,2.3,13201,9,1.66,0.26,448,30,1.15,0.1,1.54,0.2,2.6,0.23,-0.031,0.021,16.1,1.3,10.16,0.07,1,*,AGC 230427,LEDA
230430,203.56667,10.65056,172.7,2.2,11812,10,1.5,0.24,347,29,1.01,0.09,1.11,0.14,2.83,0.27,-0.022,0.023,10.6,1.8,10.02,0.07,1,*,AGC 230430,LEDA
230431,203.59125,10.56417,142.8,2.3,9688,8,1.78,0.28,236,26,1.51,0.13,1.75,0.22,4.88,0.48,0.102,0.028,13.0,2.1,9.93,0.07,1,*,AGC 230431,LEDA
230435,203.64792,8.69306,114.3,2.3,7722,10,0.52,0.1,208,27,1.35,0.22,1.19,0.34,2.76,0.48,-0.009,0.039,4.8,2.0,9.21,0.08,2,*,AGC 230435,LEDA
230436,203.65833,8.79361,13.9,2.7,1232,3,5.6,0.89,75,5,1.01,0.08,1.01,0.11,4.55,0.32,0.069,0.015,58.0,2.4,8.41,0.18,1,,AGC 230436,LEDA
230438,203.69333,11.48139,238.2,2.4,16401,4,1.34,0.21,91,7,1.19,0.12,1.24,0.19,4.58,0.37,0.079,0.018,16.7,1.9,10.25,0.07,1,*,AGC 230438,LEDA
230450,203.85042,27.91083,117.9,2.2,8005,11,1.38,0.21,346,26,1.16,0.09,1.4,0.16,3.23,0.29,-0.012,0.024,11.4,1.7,9.66,0.07,1,,AGC 230450,LEDA
230454,203.91,25.87528,113.0,2.2,7667,6,2.1,0.33,327,20,1.03,0.08,1.04,0.11,3.39,0.26,-0.038,0.016,18.3,1.7,9.8,0.07,1,*,AGC 230454,LEDA
